"source_path","item_type","discovered_under","match_basis","file_count_recursive","byte_count_recursive","latest_write_time_utc","sha256_if_file","inventory_state","source_lineage","canonical_destination","disposition"
"C:\Users\User\Documents\Codex\2026-08-09\bind-2026-tres-productos-candidatura\outputs\BAYME_MERCABARNA_FLOR_STRUCTURED_ZPOST_v0.3","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T07:58:40.4927881Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\bind-2026-tres-productos-candidatura\outputs\BAYME_MERCABARNA_MVP_v0.3","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T06:50:23.1019772Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-09\bind-2026-tres-productos-candidatura\outputs\BAYME_MERCABARNA_PREQUENTIAL_v0.1","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-09T07:20:35.6073341Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T15:47:51.2682383Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\upload-split\src\bma","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T14:14:55.4362750Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T15:15:53.8632488Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation-tree","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T15:16:57.2464565Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation-tree\src\bma","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T15:16:57.2464565Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-10\bma-terra-succession-20260810\work\bma-v065-validation\src\bma","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-15T15:06:09.4917823Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\2026-08-14\unlikely-loop-kch-successor-2026-08-14\roadmap\products\bayme_bma","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-14T17:58:49.5939715Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\b31\BayME_CURRENT_2026_07_31","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:47:34.8274237Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Documents\Codex\b58\Statistical_Programming_BayME_EVE_TRANSFER_PACK_v0_5_8","DIRECTORY","C:\Users\User\Documents\Codex","PATH_NAME","","","2026-08-01T10:41:59.1272319Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
"C:\Users\User\Downloads\BAYME_MERCABARNA_FLOR_GALICIA_PORT_v0.4_acl_quarantine_20260809","DIRECTORY","C:\Users\User\Downloads","PATH_NAME","","","2026-08-09T08:11:49.4015840Z","","DIRECTORY_AGGREGATION_DEFERRED_TO_DEDUP_MANIFEST","UNRESOLVED_SOURCE_LINEAGE","UNCLASSIFIED_PENDING_CONTENT_REVIEW","PRESERVE_READ_ONLY_PENDING_UNIT_REVIEW"
